Name,Latitude,Longitude,Zipcode
L1,47.727,-122.303,98125
N1,47.723,-122.34,98133
B1,47.71,-122.371,98177
L2,47.71,-122.304,98125
N3,47.705,-122.33,98133
N2,47.698,-122.352,98103
N,47.69,-122.329,98115
U1,47.685,-122.31,98115
B3,47.681,-122.364,98117
L3,47.681,-122.277,98115
B2,47.679,-122.392,98117
J1,47.677,-122.338,98107
U3,47.666,-122.312,98105
J2,47.661,-122.364,98107
U2,47.659,-122.307,98105
J3,47.656,-122.336,98103
Q1,47.65,-122.4,98199
Q2,47.643,-122.363,98119
C1,47.634,-122.316,98122
C3,47.63,-122.292,98112
W,47.63,-122.368,98119
D1,47.627,-122.346,98109
Q3,47.627,-122.363,98119
D2,47.626,-122.331,98109
CITYWIDE,47.621,-122.333,98109
E1,47.62,-122.324,98102
E,47.62,-122.305,98112
C2,47.619,-122.314,98112
M1,47.616,-122.351,98121
M2,47.615,-122.34,98121
E2,47.612,-122.32,98122
D3,47.61,-122.329,98101
G1,47.609,-122.308,98122
M3,47.608,-122.341,98101
K1,47.608,-122.334,98101
G3,47.603,-122.292,98122
E3,47.603,-122.319,98122
K2,47.6,-122.327,98104
G2,47.596,-122.307,98144
K3,47.59,-122.334,98134
O1,47.582,-122.312,98144
W1,47.579,-122.379,98126
R1,47.576,-122.289,98144
O2,47.566,-122.331,98134
R2,47.562,-122.304,98108
W2,47.561,-122.387,98116
R3,47.553,-122.268,98118
F1,47.548,-122.355,98106
SW,47.548,-122.362,98106
SE,47.548,-122.285,98118
S1,47.544,-122.286,98118
O3,47.535,-122.303,98108
S2,47.526,-122.274,98118
F3,47.526,-122.336,98106
W3,47.526,-122.385,98136
F2,47.525,-122.366,98106
S3,47.509,-122.26,98178