Name	Location 1	 Latitude 	 Longitude 	Zipcode
S3	"(47.509353335367202, -122.259542630385)"	 47.509 	 (122.260)	98178
F2	"(47.525450246174103, -122.36581754832901)"	 47.525 	 (122.366)	F2
W3	"(47.525547988980399, -122.384581696918)"	 47.526 	 (122.385)	W3
F3	"(47.526105298511503, -122.336388313318)"	 47.526 	 (122.336)	F3
S2	"(47.526351948481597, -122.274095175041)"	 47.526 	 (122.274)	S2
O3	"(47.5345836385751, -122.30302026628701)"	 47.535 	 (122.303)	O3
S1	"(47.5439339496481, -122.286476209963)"	 47.544 	 (122.286)	S1
SE	"(47.547676683805101, -122.284789228904)"	 47.548 	 (122.285)	SE
SW	"(47.547856615403802, -122.36178740836399)"	 47.548 	 (122.362)	SW
F1	"(47.548414659303504, -122.35480967015501)"	 47.548 	 (122.355)	F1
R3	"(47.552795111033298, -122.26821078221801)"	 47.553 	 (122.268)	R3
W2	"(47.560706830188799, -122.38694647503701)"	 47.561 	 (122.387)	W2
R2	"(47.562285343513999, -122.304240734006)"	 47.562 	 (122.304)	R2
O2	"(47.5656855826482, -122.330941962362)"	 47.566 	 (122.331)	O2
R1	"(47.575811456919403, -122.288707022144)"	 47.576 	 (122.289)	R1
W1	"(47.578816408008301, -122.378814011668)"	 47.579 	 (122.379)	W1
O1	"(47.582285935921298, -122.311799603309)"	 47.582 	 (122.312)	O1
K3	"(47.590397207852497, -122.333545010682)"	 47.590 	 (122.334)	K3
G2	"(47.595895298951802, -122.306633195511)"	 47.596 	 (122.307)	G2
K2	"(47.5998930290529, -122.326813620856)"	 47.600 	 (122.327)	K2
E3	"(47.603162336406001, -122.319319689671)"	 47.603 	 (122.319)	E3
G3	"(47.603182188167501, -122.292398835358)"	 47.603 	 (122.292)	G3
K1	"(47.6077552981764, -122.33410746063799)"	 47.608 	 (122.334)	K1
M3	"(47.6077571617787, -122.34089639003599)"	 47.608 	 (122.341)	M3
G1	"(47.609137330649403, -122.30789961679299)"	 47.609 	 (122.308)	G1
D3	"(47.6103493249325, -122.32865370619901)"	 47.610 	 (122.329)	D3
E2	"(47.611843267110203, -122.32016086570999)"	 47.612 	 (122.320)	E2
M2	"(47.614615019358602, -122.340275405136)"	 47.615 	 (122.340)	M2
M1	"(47.615758442258702, -122.350867935301)"	 47.616 	 (122.351)	M1
C2	"(47.619238575299597, -122.313557430551)"	 47.619 	 (122.314)	C2
E	"(47.620154274814404, -122.304782602556)"	 47.620 	 (122.305)	E
E1	"(47.620348688207301, -122.324419823241)"	 47.620 	 (122.324)	E1
CITYWIDE	"(47.6210041048652, -122.33299349899799)"	 47.621 	 (122.333)	CITYWIDE
D2	"(47.625654887604902, -122.331370005506)"	 47.626 	 (122.331)	D2
Q3	"(47.626980406317898, -122.362807276708)"	 47.627 	 (122.363)	Q3
D1	"(47.627442130802798, -122.345705781837)"	 47.627 	 (122.346)	D1
W	"(47.630023783335702, -122.36805316444401)"	 47.630 	 (122.368)	W
C3	"(47.630079288747403, -122.292087128251)"	 47.630 	 (122.292)	C3
C1	"(47.6342500180223, -122.315684762418)"	 47.634 	 (122.316)	C1
Q2	"(47.6428529450151, -122.362673076853)"	 47.643 	 (122.363)	Q2
Q1	"(47.650261230265002, -122.400003042555)"	 47.650 	 (122.400)	Q1
J3	"(47.656378177487703, -122.336468775341)"	 47.656 	 (122.336)	J3
U2	"(47.658554530063498, -122.30659481859)"	 47.659 	 (122.307)	U2
J2	"(47.661337451672303, -122.363818988307)"	 47.661 	 (122.364)	J2
U3	"(47.666008348785503, -122.312204733721)"	 47.666 	 (122.312)	U3
J1	"(47.676809900774003, -122.337899655521)"	 47.677 	 (122.338)	J1
B2	"(47.679052190137398, -122.391748391741)"	 47.679 	 (122.392)	B2
L3	"(47.680853154025499, -122.277032733938)"	 47.681 	 (122.277)	L3
B3	"(47.681292048222701, -122.364236159741)"	 47.681 	 (122.364)	B3
U1	"(47.684867767626898, -122.309913082907)"	 47.685 	 (122.310)	U1
N	"(47.6902980120839, -122.328757390104)"	 47.690 	 (122.329)	N
N2	"(47.698470493248998, -122.351867710243)"	 47.698 	 (122.352)	N2
N3	"(47.704500524644203, -122.329961214037)"	 47.705 	 (122.330)	N3
L2	"(47.709558883744201, -122.30366100786701)"	 47.710 	 (122.304)	L2
B1	"(47.709775639459203, -122.370990523069)"	 47.710 	 (122.371)	B1
N1	"(47.722687539040599, -122.34045903910599)"	 47.723 	 (122.340)	N1
L1	"(47.726548881770903, -122.302631931191)"	 47.727 	 (122.303)	L1