 Id,ZipCode,Location,City,State,Population,AvgIncome,NationalRank 
282,98330,"46.759076, -122.169796",Elbe,WA,63,39500,12561
283,98546,"47.327011, -122.925173",Grapeview,WA,2256,39331,12724
284,98596,"46.500752, -122.930905",Winlock,WA,6567,39179,12840
285,98592,"47.327750, -123.056149",Union,WA,1281,39167,12861
286,99350,"46.142719, -119.701751",Prosser,WA,11399,39055,12953
287,98663,"45.654667, -122.662337",Vancouver,WA,14152,39022,12978
288,98925,"47.361084, -121.249759",Easton,WA,588,38958,13041
289,99217,"47.740564, -117.274568",Spokane,WA,11267,38902,13096
290,99224,"47.650388, -117.526399",Spokane,WA,16084,38890,13106
291,98639,"45.663887, -121.966772",North Bonneville,WA,467,38875,13120
292,99345,"45.941592, -119.689159",Paterson,WA,222,38750,13218
293,99335,"46.689633, -118.494286",Kahlotus,WA,288,38750,13219
294,98938,"46.376837, -120.094444",Outlook,WA,1992,38700,13287
295,99341,"46.912435, -118.639665",Lind,WA,998,38594,13376
296,98261,"48.482500, -122.883954",Lopez Island,WA,2179,38594,13381
297,98584,"47.210605, -123.158424",Shelton,WA,31214,38543,13413
298,98641,"46.562265, -124.028893",Oysterville,WA,48,38542,13416
299,98108,"47.534868, -122.305792",Seattle,WA,21223,38413,13545
300,98222,"48.565071, -122.792647",Blakely Island,WA,64,38393,13569
301,99361,"46.237841, -118.145763",Waitsburg,WA,1929,38269,13677
302,98559,"46.958822, -123.327364",Malone,WA,88,38250,13685
303,98632,"46.204995, -123.062761",Longview,WA,47202,38195,13729
304,98358,"48.031999, -122.684007",Nordland,WA,837,38182,13746
305,98368,"48.110129, -122.821169",Port Townsend,WA,12818,38100,13822
306,98548,"47.549895, -123.233568",Hoodsport,WA,1766,38095,13826
307,98408,"47.205050, -122.446513",Tacoma,WA,29095,38030,13888
308,99161,"46.903033, -117.139126",Palouse,WA,1454,37955,13976
309,99216,"47.675073, -117.198385",Spokane,WA,21576,37930,13985
310,99360,"46.098933, -118.678149",Touchet,WA,1171,37895,14018
311,98363,"47.964707, -123.813787",Port Angeles,WA,12167,37791,14116
312,98672,"45.843655, -121.448223",White Salmon,WA,5088,37769,14136
313,98626,"46.125222, -122.784032",Kelso,WA,22549,37760,14140
314,99158,"47.130498, -117.249184",Oakesdale,WA,608,37708,14194
315,98858,"47.670807, -119.888540",Waterville,WA,1659,37679,14232
316,99343,"46.596939, -119.162490",Mesa,WA,3086,37674,14240
317,99105,"46.870311, -118.080007",Benge,WA,57,37500,14390
318,98591,"46.444323, -122.778557",Toledo,WA,2997,37474,14430
319,98148,"47.442609, -122.322164",Seattle,WA,9519,37411,14479
320,98382,"48.062363, -123.092401",Sequim,WA,21547,37392,14498
321,99169,"47.080111, -118.372804",Ritzville,WA,2534,37308,14597
322,99030,"47.476380, -117.104077",Rockford,WA,848,37273,14635
323,99111,"46.848116, -117.454849",Colfax,WA,4209,37259,14649
324,99402,"46.198184, -117.148485",Asotin,WA,1709,37188,14742
325,99122,"47.674684, -118.187715",Davenport,WA,3272,37138,14799
326,98002,"47.307068, -122.215480",Auburn,WA,30815,36991,14964
327,98204,"47.900117, -122.253851",Everett,WA,31351,36944,15025
328,98801,"47.412675, -120.342082",Wenatchee,WA,36551,36929,15041
329,99034,"47.882826, -117.745390",Tumtum,WA,210,36875,15104
330,99135,"47.630485, -119.109048",Hartline,WA,243,36875,15106
331,98937,"46.733955, -121.274154",Naches,WA,3355,36860,15138
332,98837,"47.174136, -119.287942",Moses Lake,WA,32400,36859,15140
333,98846,"48.030365, -120.014009",Pateros,WA,1005,36818,15177
334,99148,"48.112677, -117.588077",Loon Lake,WA,2001,36806,15188
335,98613,"45.743949, -120.965143",Centerville,WA,489,36786,15207
336,98527,"46.625953, -123.956961",Bay Center,WA,217,36771,15227
337,98862,"48.471180, -120.471379",Winthrop,WA,1916,36736,15266
338,98823,"47.305421, -119.677215",Ephrata,WA,9897,36670,15339
339,98570,"46.594576, -122.678494",Onalaska,WA,3576,36521,15505
340,98303,"47.178043, -122.688918",Anderson Island,WA,2416,36480,15555
341,98834,"48.120309, -120.066445",Methow,WA,262,36458,15578
342,98953,"46.427027, -120.233693",Zillah,WA,6079,36438,15604
343,98852,"48.431977, -120.815494",Stehekin,WA,100,36364,15688
344,98635,"45.749002, -121.185487",Lyle,WA,2193,36328,15728
345,99110,"48.018791, -117.573233",Clayton,WA,1329,36250,15900
346,98941,"47.244781, -120.974261",Roslyn,WA,997,36250,15901
347,98643,"46.295441, -123.619706",Rosburg,WA,395,36250,15903
348,98903,"46.543437, -120.774264",Yakima,WA,13522,36239,15908
349,99326,"46.668891, -118.840344",Connell,WA,3680,36220,15920
350,98650,"45.982164, -121.538549",Trout Lake,WA,779,36181,15958
351,98256,"47.822643, -121.406198",Index,WA,523,36161,15985
352,99009,"48.026086, -117.252446",Elk,WA,3560,36157,15989
353,98281,"48.984669, -123.059496",Point Roberts,WA,1308,36146,16013
354,99336,"46.214005, -119.183953",Kennewick,WA,40820,36100,16066
355,99362,"46.091205, -118.328418",Walla Walla,WA,38023,35841,16399
356,98310,"47.596239, -122.621078",Bremerton,WA,18718,35819,16438
357,98331,"47.907183, -124.415646",Forks,WA,6220,35802,16462
358,98647,"46.315246, -123.401355",Skamokawa,WA,425,35769,16497
359,98568,"46.827251, -123.320218",Oakville,WA,2347,35726,16567
360,98362,"47.940158, -123.395678",Port Angeles,WA,21274,35721,16572
361,99124,"48.000431, -118.952286",Elmer City,WA,148,35625,16677
362,99130,"47.000855, -117.198379",Garfield,WA,889,35625,16678
363,99012,"47.386107, -117.197355",Fairfield,WA,981,35625,16679
364,99212,"47.660576, -117.310940",Spokane,WA,18347,35572,16768
365,98403,"47.265613, -122.459073",Tacoma,WA,7777,35569,16771
366,98241,"48.250061, -121.559140",Darrington,WA,1953,35568,16777
367,98304,"46.776327, -122.011107",Ashford,WA,794,35469,16906
368,99159,"47.323629, -118.749182",Odessa,WA,1645,35433,16950
369,98541,"47.057121, -123.405793",Elma,WA,9163,35423,16965
370,98857,"46.989083, -119.063999",Warden,WA,3724,35417,16990
371,98295,"48.958114, -122.117603",Sumas,WA,4826,35414,16991
372,98822,"47.900973, -120.547315",Entiat,WA,1874,35398,17003
373,99348,"46.377168, -118.474684",Prescott,WA,1699,35324,17111
374,98648,"45.698273, -121.878750",Stevenson,WA,2856,35256,17211
375,99171,"47.098248, -117.653890",Saint John,WA,1072,35150,17348
376,98830,"47.918879, -119.487973",Mansfield,WA,498,35125,17373
377,99123,"47.841945, -119.134482",Electric City,WA,924,35104,17393
378,98930,"46.269119, -119.897062",Grandview,WA,12919,35000,17484
379,99185,"47.748187, -118.678152",Wilbur,WA,1405,34948,17566
380,98947,"46.691825, -120.788859",Tieton,WA,2599,34866,17633
381,99347,"46.504166, -117.547544",Pomeroy,WA,2450,34844,17658
382,99205,"47.697416, -117.447976",Spokane,WA,43739,34778,17725
383,98356,"46.563541, -122.309262",Morton,WA,2158,34756,17747
384,99181,"48.153277, -117.750775",Valley,WA,1870,34676,17849
385,98848,"47.146756, -119.842981",Quincy,WA,9824,34571,17978
386,98404,"47.208981, -122.411638",Tacoma,WA,30679,34483,18057
387,99116,"48.014782, -118.935774",Coulee Dam,WA,1587,34471,18070
388,98557,"47.046547, -123.268606",Mccleary,WA,2776,34293,18279
389,99349,"46.725894, -119.780480",Mattawa,WA,5564,34167,18425
390,98617,"45.625192, -121.169345",Dallesport,WA,956,34145,18454
391,98237,"48.521734, -121.718028",Concrete,WA,2911,34038,18555
392,98610,"45.832258, -121.968019",Carson,WA,2747,34031,18560
393,99143,"46.736450, -117.909558",Lacrosse,WA,766,33889,18710
394,98831,"47.991845, -120.125315",Manson,WA,3178,33779,18803
395,98238,"48.315267, -122.351498",Conway,WA,70,33750,18843
396,98593,"46.412673, -123.012823",Vader,WA,1067,33750,18844
397,99125,"46.963970, -117.766079",Endicott,WA,887,33750,18845
398,98950,"46.920336, -119.996672",Vantage,WA,170,33750,18847
399,98952,"46.367864, -120.764000",White Swan,WA,2684,33700,18962
400,99170,"47.264281, -117.398121",Rosalia,WA,1218,33625,19028
401,98530,"46.782250, -122.802660",Bucoda,WA,551,33571,19077
402,99011,"47.617755, -117.652766",Fairchild Air Force Base,WA,4688,33560,19087
403,98535,"47.132663, -124.132132",Copalis Beach,WA,489,33472,19186
404,98465,"47.247431, -122.527999",Tacoma,WA,6564,33404,19262
405,99156,"48.155778, -117.206754",Newport,WA,7073,33390,19283
406,98560,"47.271524, -123.448226",Matlock,WA,155,33250,19428
407,98816,"48.122045, -120.617476",Chelan,WA,6170,33235,19446
408,99017,"47.184129, -117.886758",Lamont,WA,221,33194,19498
409,98520,"46.948438, -123.844210",Aberdeen,WA,21662,33169,19539
410,99403,"46.364165, -117.249547",Clarkston,WA,18621,33161,19552
411,98201,"47.989112, -122.202042",Everett,WA,30320,33158,19555
412,99114,"48.655198, -117.735834",Colville,WA,12359,32989,19754
413,98661,"45.640067, -122.625018",Vancouver,WA,36868,32975,19770
414,99141,"48.751183, -118.134014",Kettle Falls,WA,5167,32884,19871
415,98590,"46.760519, -123.963223",Tokeland,WA,435,32857,19901
416,98564,"46.492351, -122.466667",Mossyrock,WA,2240,32838,19920
417,98582,"46.523682, -122.625740",Salkum,WA,379,32813,19939
418,98850,"47.396587, -120.068299",Rock Island,WA,1814,32788,19977
419,99329,"46.109126, -118.149747",Dixie,WA,231,32708,20043
420,98339,"47.992830, -122.734913",Port Hadlock,WA,3498,32645,20113
421,99344,"46.833925, -119.146790",Othello,WA,13726,32615,20144
422,98673,"45.660565, -120.954087",Wishram,WA,213,32500,20251
423,98531,"46.735829, -122.946126",Centralia,WA,21842,32485,20324
424,98499,"47.168693, -122.503347",Lakewood,WA,28959,32459,20344
425,98381,"48.293046, -124.438704",Sekiu,WA,1484,32443,20358
426,98631,"46.377455, -124.019393",Long Beach,WA,3411,32388,20427
427,98444,"47.153041, -122.448831",Tacoma,WA,31712,32351,20478
428,98433,"47.058096, -122.624550",Tacoma,WA,19645,32339,20503
429,98569,"47.009146, -124.149393",Ocean Shores,WA,4230,32331,20514
430,99134,"47.454343, -118.342435",Harrington,WA,637,32273,20575
431,98121,"47.614743, -122.345855",Seattle,WA,8558,32271,20584
432,98315,"47.722257, -122.714126",Silverdale,WA,7253,32246,20631
433,98595,"46.883903, -124.107620",Westport,WA,2811,32218,20665
434,98409,"47.210957, -122.481577",Tacoma,WA,21988,32132,20795
435,99328,"46.316552, -117.926754",Dayton,WA,3806,32130,20798
436,98550,"47.112596, -123.923008",Hoquiam,WA,11733,32104,20838
437,98122,"47.610445, -122.302983",Seattle,WA,28790,32085,20853
438,98542,"46.518987, -122.722600",Ethel,WA,530,32083,20860
439,99121,"48.977591, -118.463240",Danville,WA,137,32000,20977
440,98361,"46.538771, -121.504767",Packwood,WA,1209,31964,21028
441,98424,"47.236657, -122.351299",Tacoma,WA,4836,31938,21062
442,98843,"47.746568, -120.055099",Orondo,WA,1556,31932,21068
443,98935,"46.136137, -120.032279",Mabton,WA,3885,31915,21093
444,98336,"46.568989, -122.112192",Glenoma,WA,1198,31875,21134
445,99115,"47.662777, -119.438201",Coulee City,WA,1133,31827,21221
446,98577,"46.655936, -123.626968",Raymond,WA,6457,31826,21224
447,99004,"47.420062, -117.631165",Cheney,WA,14407,31465,21678
448,98849,"48.540990, -119.409523",Riverside,WA,950,31458,21691
449,99103,"47.753508, -118.949806",Almira,WA,577,31406,21756
450,99033,"47.222802, -117.105396",Tekoa,WA,931,31389,21780
451,99109,"48.274737, -117.723079",Chewelah,WA,4382,31389,21783
452,99180,"48.285589, -117.306730",Usk,WA,765,31375,21796
453,98552,"47.352540, -123.892592",Humptulips,WA,610,31364,21816
454,99133,"48.020704, -119.054157",Grand Coulee,WA,1643,31118,22166
455,98377,"46.499823, -121.677200",Randle,WA,2043,31116,22171
456,99330,"46.492312, -119.021033",Eltopia,WA,807,31000,22313
457,98644,"46.329863, -124.052600",Seaview,WA,516,30968,22361
458,98305,"48.056293, -124.301240",Beaver,WA,407,30938,22409
459,98620,"45.845875, -120.750903",Goldendale,WA,6936,30934,22411
460,99101,"48.317995, -117.938592",Addy,WA,1295,30885,22452
461,98621,"46.343035, -123.559855",Grays River,WA,245,30694,22706
462,98902,"46.596673, -120.533851",Yakima,WA,42634,30694,22707
463,99166,"48.646520, -118.716638",Republic,WA,2955,30689,22716
464,98944,"46.409620, -119.936676",Sunnyside,WA,20108,30689,22717
465,99324,"46.044882, -118.406146",College Place,WA,8455,30629,22777
466,98405,"47.245647, -122.472399",Tacoma,WA,22355,30585,22875
467,98660,"45.707104, -122.741115",Vancouver,WA,10019,30585,22877
468,99117,"47.738480, -118.493248",Creston,WA,548,30526,22967
469,98856,"48.353876, -120.091137",Twisp,WA,2182,30504,22988
470,98841,"48.379699, -119.289234",Omak,WA,8927,30492,23005
471,99013,"47.860588, -117.818494",Ford,WA,1016,30489,23008
472,98326,"48.179870, -124.411486",Clallam Bay,WA,550,30476,23027
473,99176,"47.102921, -117.411346",Thornton,WA,214,30417,23085
474,98951,"46.456028, -120.513604",Wapato,WA,13570,30417,23107
475,99032,"47.274403, -117.989955",Sprague,WA,710,30385,23152
476,98586,"46.548964, -123.857992",South Bend,WA,2257,30357,23183
477,99151,"48.664290, -118.064106",Marcus,WA,115,30357,23185
478,98840,"48.280783, -119.546978",Okanogan,WA,4808,30307,23264
479,98926,"47.018385, -120.476046",Ellensburg,WA,24800,30198,23394
480,98832,"47.309890, -119.046527",Marlin,WA,318,30000,23611
481,98571,"47.225117, -124.198210",Pacific Beach,WA,478,29722,23900
482,98624,"46.316961, -124.013422",Ilwaco,WA,1337,29716,23908
483,99128,"47.097950, -117.081344",Farmington,WA,374,29688,23945
484,99139,"48.732179, -117.358713",Ione,WA,1187,29688,23946
485,98526,"47.473894, -124.001776",Amanda Park,WA,430,29500,24148
486,98539,"46.637019, -123.279465",Doty,WA,184,29375,24266
487,98355,"46.702820, -122.039541",Mineral,WA,634,29125,24541
488,98225,"48.765045, -122.492381",Bellingham,WA,42414,29056,24618
489,99167,"48.409105, -118.111545",Rice,WA,580,29048,24625
490,98614,"46.286325, -123.915936",Chinook,WA,556,28958,24697
491,99118,"48.902290, -118.650671",Curlew,WA,1165,28864,24801
492,98605,"45.776892, -121.665459",Bingen,WA,1186,28846,24819
493,98353,"47.553842, -122.545320",Manchester,WA,122,28750,24871
494,99357,"46.910395, -119.700388",Royal City,WA,3746,28725,24972
495,98836,"47.470973, -120.413030",Monitor,WA,324,28713,24976
496,98572,"46.596173, -123.316956",Pe Ell,WA,865,28472,25209
497,98628,"45.879400, -121.130937",Klickitat,WA,298,28375,25297
498,98948,"46.306575, -120.356787",Toppenish,WA,13262,28218,25438
499,98439,"47.131315, -122.495883",Lakewood,WA,6794,28172,25490
500,98320,"47.718634, -122.992631",Brinnon,WA,1197,28167,25495
501,98855,"48.691023, -119.328642",Tonasket,WA,5469,27994,25696
502,98337,"47.566095, -122.637870",Bremerton,WA,8332,27988,25699
503,98901,"46.677182, -120.330547",Yakima,WA,28724,27878,25797
504,99040,"47.876159, -117.990782",Wellpinit,WA,930,27798,25881
505,99001,"47.642200, -117.591346",Airway Heights,WA,1328,27571,26063
506,98547,"46.783949, -124.035956",Grayland,WA,1642,27464,26178
507,98267,"48.401646, -121.292255",Marblemount,WA,582,27188,26430
508,99129,"48.014957, -118.193094",Fruitland,WA,751,27115,26515
509,99207,"47.693993, -117.387702",Spokane,WA,38565,27095,26530
510,98134,"47.577676, -122.335954",Seattle,WA,636,27083,26548
511,98101,"47.610198, -122.334555",Seattle,WA,9010,26995,26650
512,98813,"47.989020, -119.599725",Bridgeport,WA,2348,26833,26805
513,99155,"48.165055, -119.051363",Nespelem,WA,1281,26833,26806
514,98640,"46.542667, -124.036849",Ocean Park,WA,3811,26721,26901
515,98812,"48.121770, -119.761206",Brewster,WA,5327,26625,26998
516,99149,"47.216305, -117.456155",Malden,WA,218,26528,27077
517,98844,"48.913780, -119.274127",Oroville,WA,4501,26476,27135
518,99119,"48.515346, -117.414658",Cusick,WA,1139,26331,27241
519,98587,"47.324195, -124.222000",Taholah,WA,900,26172,27408
520,98602,"45.859293, -121.288307",Appleton,WA,195,25917,27588
521,99363,"46.056211, -118.893574",Wallula,WA,235,25893,27603
522,98932,"46.328018, -120.157228",Granger,WA,4182,25833,27649
523,98851,"47.438789, -119.410359",Soap Lake,WA,3759,25393,27966
524,98860,"47.488577, -119.139819",Wilson Creek,WA,257,25250,28067
525,99202,"47.657156, -117.378870",Spokane,WA,19801,25053,28181
526,99136,"46.656700, -117.959434",Hay,WA,48,25000,28212
527,99173,"48.040751, -117.859675",Springdale,WA,1253,24826,28318
528,99140,"48.096113, -118.728147",Keller,WA,439,24464,28532
529,99401,"46.053358, -117.286726",Anatone,WA,221,24271,28648
530,98581,"46.369609, -123.071611",Ryderwood,WA,422,24167,28702
531,98357,"48.333425, -124.634935",Neah Bay,WA,1356,24091,28763
532,98533,"46.588620, -122.531453",Cinebar,WA,517,24038,28789
533,99346,"45.964295, -119.379908",Plymouth,WA,268,24018,28800
534,99153,"48.910890, -117.165805",Metaline Falls,WA,440,23889,28868
535,99138,"48.249734, -118.334561",Inchelium,WA,1173,23625,29024
536,98829,"48.302475, -119.753709",Malott,WA,562,23250,29233
537,99152,"48.889071, -117.371674",Metaline,WA,199,23077,29320
538,98934,"46.983262, -120.416916",Kittitas,WA,479,23000,29356
539,99157,"48.929215, -117.798823",Northport,WA,683,22841,29422
540,99321,"46.860418, -119.857169",Beverly,WA,620,22440,29595
541,99163,"46.716242, -117.209557",Pullman,WA,26196,22418,29605
542,98817,"47.787961, -120.001940",Chelan Falls,WA,348,22381,29624
543,98827,"48.868980, -119.720455",Loomis,WA,437,22381,29625
544,99137,"48.147862, -118.115216",Hunters,WA,306,22143,29735
545,98350,"47.903863, -124.602687",La Push,WA,371,21750,29929
546,98819,"48.585401, -119.827200",Conconully,WA,256,21563,30009
547,98616,"46.087943, -122.266703",Cougar,WA,96,21250,30153
548,99204,"47.649045, -117.431262",Spokane,WA,9863,21158,30174
549,98562,"47.258807, -124.206908",Moclips,WA,192,19375,30700
550,99150,"48.795844, -118.568901",Malo,WA,275,18958,30779
551,99160,"48.807446, -118.199598",Orient,WA,115,18542,30868
552,98297,"48.700506, -123.028733",Waldron,WA,104,18452,30880
553,98859,"48.797934, -118.956371",Wauconda,WA,226,17083,31135
554,98821,"47.536587, -120.552085",Dryden,WA,243,16917,31157
555,99201,"47.663905, -117.434823",Spokane,WA,11265,16257,31237
556,98235,"48.460985, -122.233908",Clearlake,WA,95,16250,31257
557,98104,"47.601701, -122.327670",Seattle,WA,13095,16205,31263
558,98402,"47.251349, -122.443181",Tacoma,WA,4935,15847,31304
559,99359,"46.510216, -118.194986",Starbuck,WA,72,13393,31550
560,98174,"47.604569, -122.335359",Seattle,WA,180,0,31889
561,98154,"47.606211, -122.333792",Seattle,WA,1,0,31893
562,98164,"47.605962, -122.332029",Seattle,WA,1,0,31894